ITEM_ID,CATEGORY_L1,CATEGORY_L2,PRODUCT_DESCRIPTION,PRICE,GENDER
6197af7d-ab62-4c5b-8050-4774ed9ebb41,seasonal,halloween,A must-have for that fanciful day loved by all,59.99,ANY
c9022319-6833-4e6a-afcf-16fb3b85a2b8,seasonal,christmas,A favorite for the holidays,113.99,ANY
10d35bdd-fe3d-4d23-99de-68bf1e24bcff,housewares,kitchen,A must-have for your kitchen,57.99,ANY
31eef6b5-781e-4353-a851-d73ff9c22f9a,books,cooking,Learn to cook Chinese cuisine with these easy recipes,52.99,ANY
c92cda0f-65b3-4203-b229-52c222e872de,furniture,chairs,Swanky sienna armchair for any room,221.99,ANY
083c4c20-48c3-4610-b3f1-405602408f15,accessories,belt,Funky belt for all occasions,30.99,M
fe1a58b0-93dd-4600-8955-1d90d04320fa,electronics,speaker,High definition speakers to fill the house with beautiful music,207.99,ANY
0aa92eeb-2d88-4b26-9e3b-5cbf6053c925,furniture,tables,Fashionable white accent table to enhance your room,144.99,ANY
9f87cbe4-07dc-4540-ad1d-693ea0c27045,accessories,belt,Cool belt for all occasions,93.99,M
7e0e0e1f-9798-4f20-843f-df9a1ae2d878,footwear,formal,Pair of crimson formal shoes for women,9.99,F
f115c9be-eae6-4bdf-9b92-32ba579a43b1,furniture,chairs,Increase your productivity with this comfy black office chair,208.99,ANY
23aa70ab-959f-4835-a114-c30ff5e4f974,electronics,headphones,This accurate pair of headphones is unrivaled in clarity,113.99,ANY
02c03513-b40d-44ec-b2d4-bb4d9421803a,groceries,bakery,Donuts made fresh daily in our kitchens,8.99,ANY
489dee3d-6abf-4470-bb94-8b9c0d12f18e,furniture,chairs,Increase your productivity with this nice saddle brown office chair,210.99,ANY
c9b8db98-e17a-49f3-ae8a-efa440be45be,furniture,chairs,Increase your productivity with this comfy office chair,139.99,ANY
2d2ea623-ed58-46bb-a95c-c932546c124e,furniture,tables,Swell golden accent table to enhance your room,162.99,ANY
75917ca3-d96d-49c9-b99a-60baac872b7a,furniture,tables,Supercool rosy-brown coffee table to enliven your day,281.99,ANY
120e30c2-30ff-4c57-8265-17d084436ebb,jewelry,bracelet,Sans pareil bracelet for women for every occasion,65.99,F
f31e0276-66fd-463b-9dbf-fd7a35e6a109,apparel,socks,These socks are very comfy for the office,23.99,M
292c73e0-e9b7-4d65-837c-d7e9ba0ca5a3,seasonal,halloween,A must-have for that fanciful day loved by all,33.99,ANY
e1372a53-ba17-48dc-8993-a57309805626,seasonal,halloween,Be sure to order early in October,21.99,ANY
d4caa74c-5d27-4f1a-847d-e2d93a6fdf32,seasonal,valentine,Be sure to order early for that special day,39.99,ANY
072f2cf7-33e8-4c74-9406-2c1fc21b3168,footwear,formal,Pair of black formal shoes for women,9.99,F
d805e752-3621-4844-a38d-f0c247f5036b,floral,bouquet,Wedding bouquet delivered fresh and vibrant from our growers,76.99,ANY
0269c908-fd3e-4c51-b9f0-0e0968623eb7,instruments,percussion,This acoustic drum is perfect for amateur and professional musicians,87.99,ANY
d5e96c12-75cc-45ca-9991-7a987ed86ad3,housewares,kitchen,Ideal for every kitchen,57.99,ANY
17ab5081-8414-4cab-9003-033ec02b44da,furniture,sofas,Unequaled dark gray sofa for any room,667.99,ANY
fd34b35b-de76-496e-89f1-6ef65969e1a4,books,travel,Plan your next trip with this essential reference book on Mexico,15.99,ANY
0c4744e2-b989-4509-a7e2-7d8dc43ff404,floral,plant,Drought-resistant indoor plant grown sustainably on our organic farms,73.99,ANY
21a89a27-c1b2-4ccf-b68e-27d904b2f854,seasonal,valentine,Be sure to order early for that special day,28.99,ANY
4ea4ab51-cec5-4908-a95e-9529244cc050,furniture,tables,Unrivaled tan worktable for your office,129.99,ANY
3e766c14-75f3-4b25-8808-32b97393434b,furniture,chairs,Outstanding goldenrod chair for any dining room,113.99,ANY
134b991a-f336-4b73-ae44-247317af0130,apparel,jacket,Warm casual jacket for men,147.99,M
9e90d949-90f7-443a-8a85-fa7e590bc589,apparel,scarf,Hip scarf for women for every occasion,86.99,F
d3d53458-ea05-4544-9a11-5a44df873e4d,furniture,tables,Increase your productivity with this definitive white worktable,160.99,ANY
6a1c85a2-0a73-4358-a99f-ec75b4c33f99,furniture,tables,Outstanding light gray worktable for your office,276.99,ANY
6d5b3f03-ade6-42f7-969d-acd1f2162332,beauty,grooming,Razor for every bathroom,37.99,M
ab704911-0afe-4c60-bf22-134c9e45f6d5,electronics,cable,This convenient cable is a must-have for your electronics,11.99,ANY
ec981144-9f7d-473e-94a1-14da97152c5b,beauty,grooming,"In stylish yellow, guaranteed to stay on in sauna and car-wash.",27.0,F
7991a67e-5d9b-4c51-8191-856551ebebca,furniture,tables,Outstanding white dining room for the whole family,310.99,ANY
045324c6-7df9-4ce7-9688-d352a6d73e02,floral,wreath,Christmas wreath delivered fresh and vibrant from our growers,92.99,ANY
fe952283-95ea-4d20-9b6e-b0711698b171,furniture,tables,Groovy rosy-brown accent table to enhance your room,272.99,ANY
4c8e8bed-371a-4664-a5a8-974c65d52d63,accessories,handbag,This gainsboro handbag is a quintessential dressy companion,117.99,F
f2658d49-665b-433f-b48c-a1761d3de63c,floral,plant,Drought-resistant indoor plant delivered fresh and vibrant from our growers,103.99,ANY
ba96fabb-220e-40f4-8999-c270f8d06a90,seasonal,christmas,A favorite for the holidays,93.99,ANY
6d08204b-35e4-419b-b2c7-ef762a3c6597,apparel,socks,These cool colorful socks will brighten smiles,10.99,M
536b9388-bafb-432d-9085-ad4af01edd6f,electronics,camera,Video camera for amateurs and professonals,9.99,ANY
54158f12-a839-466b-afbc-7c8788c9fd85,footwear,sneaker,An all-around intrepid pair of firebrick sneakers,160.99,M
7250b108-96cc-45f7-b3f0-0e38d7277a8d,accessories,handbag,This casual dark gray handbag is sans pareil all over,100.99,F
a17b4428-be23-4ccf-820c-e4d502b18979,apparel,jacket,Cool casual jacket for men for all seasons,174.99,M
95f55bd7-c2fc-4a05-ad47-1f41e38a8456,seasonal,halloween,A must-have for that fanciful day loved by all,43.99,ANY
700914b6-ae23-4e10-9329-896ba6526ce4,footwear,sandals,This modish pair of sandals for woman is perfect for the summer,9.99,F
69db7a78-e649-482d-b460-4d4321e7f384,seasonal,easter,A must-have for April,49.99,ANY
8dc592e0-b192-44d7-a639-b79946f4e12b,seasonal,christmas,A favorite for the holidays,75.99,ANY
69efa81b-e1d4-415b-9639-71450fae5bb6,jewelry,earrings,Spiffy earrings for women,85.99,F
04b9b2b6-28c7-4dba-89b4-a2a918d836df,furniture,chairs,Incomparable white and black chair for your office,94.99,ANY
2386a4f2-d20f-4622-a8ee-0d47f38c1f90,jewelry,bracelet,This exquisite bracelet for women will turn heads,150.99,F
21a14202-3d31-4510-80c1-d99c3c54a915,homedecor,lighting,This pillar candle will enhance your home,41.99,ANY
ab22df42-55a5-4180-b46d-5a55d77811e1,instruments,microphone,This high fidelity microphone can be relied upon in every situation,228.99,ANY
2b556650-4748-460a-b4c9-b81b8fd3e990,footwear,boot,Unsurpassed pair of brown boots,182.99,M
1b2dda7c-7fd7-476a-bdea-87bcd101a022,housewares,kitchen,Unsurpassed for every kitchen,65.99,ANY
3b4ec162-f680-4323-8ddc-95cf37366248,apparel,jacket,Cool winter casual coat for men for the mountains,141.99,M
a8bddfa0-6f9d-4d7e-9265-23f511f48016,housewares,kitchen,Outstanding for every kitchen,60.99,ANY
16d2aa62-0f43-48d6-b42b-be7ae0f66e6b,groceries,dairy,This yogurt is fresh from our dairy farms,5.99,ANY
e5f9478b-9d05-450f-b5da-2b525c7f843b,housewares,kitchen,A must-have for your kitchen,55.99,ANY
afd62b60-3596-47cd-a61f-1e53a0c2a8da,footwear,formal,Pair of golden formal shoes for women,9.99,F
5d926c34-3aca-40c3-9199-603c6717ea37,floral,plant,Indoor plant delivered fresh and vibrant from our growers,129.99,ANY
f7b90f15-74e2-4dd0-a003-93e7965e2266,instruments,strings,This acoustic bass will delight the most demanding musician,182.99,ANY
0ed92852-f5ac-41e1-ad8f-1731b24e37c5,seasonal,christmas,A must-have for the holidays,72.99,ANY
b6149c48-4fa1-4468-bf01-87a0fd39bdd5,seasonal,valentine,Be sure to order early for that special day,32.99,ANY
9a66adca-22dc-4e13-bf61-ceb1f5fffcb6,footwear,boot,This pair of black boots is sans pareil for the autumn,258.99,F
a63e6cbf-29d7-4b3a-8298-d1d91f129bfa,homedecor,clock,This wall clock is a must-have,147.99,ANY
e09d3267-1a87-4518-9fa7-fa9ed847c80d,instruments,microphone,This accurate microphone can be relied upon in every situation,499.99,ANY
addd77dc-c004-445b-a448-5ef6956d82bd,tools,saw,This saw is a must-have for your toolbox,13.99,ANY
bac8c61d-dd0e-42f1-8c9b-004ae7e64131,groceries,dairy,This cheese is made sustainably by our dairy farmers,5.99,ANY
a51e9895-f3ee-47c1-b594-a8e7df8e8fd8,footwear,sneaker,Funky pair of dark slate blue sneakers to explore in the neighborhood,127.99,M
a26ff192-35d6-411a-9337-abbb793d6b1b,apparel,jacket,Well-insulated casual coat for men for the mountains,115.99,M
fa496dad-dab8-4c6e-9836-eb7dcfb2724f,groceries,meat,Our beef is organic and raised sustainably,6.99,ANY
0ef96548-e499-4b8f-8656-e3e6a070d171,homedecor,lighting,This hanging lamp is a must-have for the lighting of your home,57.99,ANY
7cfd10d1-ff92-4513-b688-0ee179deaaef,beauty,grooming,Pimples? Invisible. Warts? Never happened. No need for witchcraft when you have science!,12.0,F
3f916af8-c7fb-4b86-a442-746e01cfe96f,electronics,television,This LED television delivers a sharp picture,548.99,ANY
56138fc9-df6d-4d6f-8594-768861870d30,homedecor,lighting,This hanging lamp will enhance your home,53.99,ANY
f9446e88-fe6e-4601-8f47-7529f80bbac5,tools,knife,This knife is a must-have for your toolbox,18.99,ANY
fabc3cde-1203-4f82-8080-bf3b1bf36a6b,groceries,meat,Our beef is raised sustainably by our farmers,11.99,ANY
b51bd298-43b7-49e2-852d-de8c1aff6724,footwear,sandals,Groovy pair of sandals for men,9.99,M
e358575b-7983-4f61-9902-bd44ce9ead6b,accessories,glasses,These ultracool glasses for men are ideal,81.99,M
1d045c07-ef58-445c-8f73-93b466e6ccf2,instruments,keys,This keyboard is perfect for amateur and professional musicians,417.99,ANY
2f182add-43fd-41f2-8899-d9e2fe507625,instruments,strings,This electric guitar will delight the most demanding musician,263.99,ANY
cfd9119f-ee29-4bc5-a08d-a58f471e7c73,footwear,formal,Pair of black formal shoes for men,9.99,M
e9c299d3-f657-448f-85cd-8cda432a59b8,furniture,dressers,Unsurpassed dark slate gray dresser with three drawers is a must-have,125.99,ANY
dc5bba3f-8d2b-4c81-a482-bbafd457d997,homedecor,lighting,This taper candle will enhance your home,43.99,ANY
e13ea370-f88c-49f9-ab8f-7b139825959d,apparel,scarf,Sans pareil scarf for women,114.99,F
c7957edf-33e1-4724-b580-878ff945b0c2,groceries,meat,Our beef is raised sustainably by our farmers,15.99,ANY
060ed40f-91cb-4bd5-a0fc-36f7351d2221,groceries,fruits,This delicious fruit is everyone's favorite,3.99,ANY
a11ef46f-dedf-48c8-94b0-3c9572608c5f,apparel,scarf,Hip scarf for women for every occasion,70.99,F
421fa982-eff0-437c-896d-da63ae441b2e,floral,plant,Indoor plant grown sustainably on our organic farms,136.99,ANY
85c80e2b-5eff-4307-9900-1d4395672eb2,footwear,sandals,This ultracool pair of sandals for men is perfect for the summer,9.99,M
04f22a7d-97fd-4650-afb6-3537963f647d,apparel,jacket,Well-insulated jacket for women for the outdoors,131.99,F
ee772434-345e-400d-bcd2-9fe696282bfe,instruments,percussion,This drumset will delight the most demanding musician,93.99,ANY
126de4a5-9a55-400e-9af2-325e3ad200c9,seasonal,christmas,A favorite for the holidays,145.99,ANY
227f7ac2-749d-47cd-bf56-698aaffc24f9,apparel,shirt,Spiffy white top for women,61.99,F
baca6570-15ab-43f8-a610-38a6efa502df,footwear,formal,Pair of black formal shoes for women,9.99,F
89728417-5269-403d-baa3-04b59cdffd0a,beauty,grooming,"Get makeup done, the only way how, on your skin.",26.0,F
61a68119-7584-4f2d-9dd9-c98967d089cb,groceries,bakery,Bread made fresh daily in our kitchens,6.99,ANY
27fe9aad-51d5-4be2-99a5-24c45caf4b55,electronics,speaker,These high fidelity speakers are unparalleled for your music room,66.99,ANY
be0967ed-5970-46b2-8d57-13065f647013,furniture,tables,Definitive black worktable for your office,256.99,ANY
69a31bac-661e-499e-a6ff-c1f178e4bacb,housewares,kitchen,A must-have for your kitchen,53.99,ANY
e830a54b-125d-4dbc-b5ac-1725382d96fd,seasonal,valentine,Be sure to order early for that special day,32.99,ANY
bade7609-f412-45cf-9e85-8ce84ed261fd,footwear,sneaker,Cool pair of gray sneakers to explore in a new city,187.99,M
123e7f5e-c5aa-45f0-94c3-1df8b018f004,homedecor,lighting,This decorative candle is a must-have for the lighting of your home,46.99,ANY
f49331ff-4021-465f-bb42-9dd6a5933791,apparel,shirt,Pale Gray casual shirt for men,200.99,M
d090af37-2c9d-4779-9baf-2944eb436f14,tools,plier,This plier is a must-have for your toolbox,11.99,ANY
6652449d-16f3-47ee-9860-b6bd602fabab,instruments,microphone,This high definition microphone can be relied upon in every situation,489.99,ANY
f8834f5f-4017-4da0-98d6-3c8985cbc7f5,furniture,sofas,Outstanding pale gray sofa for any room,887.99,ANY
28798011-16bb-4213-aac0-92cc362446f9,electronics,speaker,High definition speakers to fill the house with beautiful music,45.99,ANY
dc9412f1-17c1-4929-b0eb-2fa38669393f,seasonal,halloween,A must-have for that fanciful day loved by all,52.99,ANY
5763e87b-9b9c-456d-8986-1f1e34fa9318,homedecor,lighting,This table lamp will enhance your home,26.99,ANY
0770ffd6-c89a-489a-b9dc-e5c1c267e102,groceries,meat,Our beef is organic and raised sustainably,14.99,ANY
4f9f0015-6f87-4608-a3ea-e8de2c0881c6,homedecor,lighting,This taper candle is a must-have for the lighting of your home,28.99,ANY
c4ad80c9-9cb6-4944-be19-d53e48ad5029,housewares,kitchen,Definitive for every kitchen,75.99,ANY
5d6023ca-e614-49ea-aa61-643d9f7284d7,beauty,bathing,A must-have in every bathroom,9.99,ANY
24a19516-a629-4703-af46-cf28f604a48a,instruments,strings,This electric guitar is perfect for amateur and professional musicians,99.99,ANY
8bffb5fb-624f-48a8-a99f-b8e9c64bbe29,tools,screwdriver,Essential screwdriver for every craftperson,24.99,ANY
32f7056c-6a02-4704-a6ae-cb45877791b7,footwear,sandals,This supercool pair of sandals for woman is perfect for the summer,9.99,F
1cd4ec2e-4786-47f7-92f4-6d44db0cff2c,electronics,headphones,This high fidelity pair of headphones is incomparable in clarity,123.99,ANY
4ac7a300-a3b9-4baa-98aa-e65ed6c08be9,footwear,formal,Pair of black formal shoes for women,9.99,F
76b68c54-3082-4fa2-8037-a74c54cd0f38,homedecor,clock,This table clock is a must-have,141.99,ANY
fe01f22e-3783-4e27-8ae5-e2cd0cbcaf61,groceries,bakery,This yummy vanilla cake will delight everyone,17.99,ANY
7549f8b8-a48a-4d17-921a-dd58b760900b,furniture,chairs,Incomparable black chair for your office,157.99,ANY
09b832ce-73fc-49f4-bd8b-5d5e4fe9fe72,seasonal,valentine,Be sure to order early for that special day,24.99,ANY
e91ea7d3-17d4-46a4-bf60-1e675351d828,seasonal,halloween,Be sure to order early in October,22.99,ANY
c04c5c8e-d946-402a-a751-a3d33c124ccc,books,cooking,Learn to cook Indonesian cuisine with these easy recipes,38.99,ANY
f9b60b83-4c16-472d-b579-461ec89eaac2,outdoors,camping,Be sure to bring this camping cup with you to the outdoors,9.99,ANY
275c4b29-2dc5-48d9-8dc9-480314e40102,seasonal,christmas,A must-have for the holidays,121.99,ANY
5ba5f911-0211-4043-9a28-d5a5dde3bd0e,apparel,shirt,Supercool dressy white shirt for men,202.99,M
6d9480ff-36c6-4ece-a685-f7b55958b57b,furniture,dressers,This unrivaled dresser has lots of drawers to organize all your items,208.99,ANY
61f4b407-4f23-4549-b955-5f17e19f7128,seasonal,halloween,A must-have for that fanciful day loved by all,41.99,ANY
75e48fa8-bbcb-49f9-ab57-c62472c19a69,homedecor,decorative,This wiker basket is a must-have for your home decor,52.99,ANY
5b696273-fb70-4572-be09-0d3125618152,homedecor,cushion,This gray set cushion is a must-have for your house,47.99,ANY
9abdf04d-a9b7-4627-9ce8-b11668db3c98,groceries,fruits,Make sure to have your fresh dose of vitamin C every day,5.99,ANY
31559f3a-2d38-4735-8110-db6d620b4fde,instruments,wind,This saxophone will delight the most demanding musician,62.99,ANY
630afa5c-6c7b-4c22-b002-90b5beae3696,floral,centerpiece,Centerpiece grown sustainably on our organic farms,92.99,ANY
0c687920-9e48-4937-87fe-472911249386,outdoors,camping,This camping chair is a must-have for your next trip,45.99,ANY
32f6910e-bb8f-4cd4-8bf5-96e96f50bc66,electronics,speaker,High definition speakers to fill the house with beautiful music,161.99,ANY
83a3e082-774d-489d-a082-0cfab4829b19,apparel,scarf,Funky scarf for women for every occasion,58.99,F
8ef26e52-1e2a-4fb1-bcaf-3e65ee8c275b,furniture,tables,Increase your productivity with this outstanding wooden worktable,284.99,ANY
e61f8a6c-2bb6-4ccc-bb2c-c0a9ea17f750,floral,bouquet,Wedding bouquet delivered fresh and vibrant from our growers,106.99,ANY
b4d4716e-27e6-4745-9c16-bc80aa194554,footwear,sneaker,Cool pair of light steel blue sneakers to explore in the city,77.99,F
f0d4b661-1c18-430b-bd9c-4f684109899e,housewares,kitchen,A must-have for your kitchen,59.99,ANY
b1a54da3-32d9-4447-9eeb-6c0fcfb75ca0,housewares,kitchen,Unparalleled for every kitchen,72.99,ANY
c76859f9-effa-428c-84e1-b8d4f837a79c,groceries,fruits,Make sure to have your fresh dose of vitamin C every day,2.99,ANY
3b3a9942-cea3-49b2-b526-25a5cefa71c5,furniture,chairs,Relax in this nice yellow armchair,98.99,ANY
ad62d66b-887f-4f87-afbc-26a372e0d9f7,apparel,jacket,Well-insulated rain jacket for women,121.99,F
1a2e30db-2b7a-4489-a865-ba704b42d341,homedecor,decorative,This easter basket will delight everyone,59.99,ANY
2aa46f50-0e73-40f4-92a2-fd5a7aec5a4d,tools,saw,Essential saw for every craftperson,14.99,ANY
5c010bac-31a6-4ff3-9557-2f5e20b509cc,accessories,backpack,Leather backpack is nifty for traveling,82.99,ANY
5156955f-dda2-4e19-831e-752c92bd8f85,electronics,computer,This desktop computer is a boon for productivity,428.99,ANY
7b8a3927-b430-4c2a-b5bb-32750b601795,jewelry,necklace,Outstanding necklace for women,191.99,F
d843fe25-e7d1-40fb-84b0-64bdedf9bed6,seasonal,christmas,A must-have for the holidays,80.99,ANY
3f791530-9540-4a36-9838-4fb14fc247ae,jewelry,earrings,Edgy earrings for women,23.99,F
e0134f0e-a7ae-4349-a52c-f1f02139a79e,electronics,camera,Video camera for amateurs and professonals,9.99,ANY
8f4bde5c-2d69-4c30-9c72-c5cff24ca58c,jewelry,earrings,Supercool earrings for women,37.99,F
1dc3d734-68f7-420c-8945-d15fe12ba3c9,footwear,sneaker,Swell pair of yellow sneakers to explore in the city,203.99,M
7f7e0965-52f0-4152-8d3b-89d11da45739,homedecor,lighting,This table lamp will enhance your home,59.99,ANY
b2dba8a2-1634-4579-8b46-b52632f49de2,seasonal,christmas,A must-have for the holidays,79.99,ANY
cb12324e-4a35-4c97-a5ec-b14424bb1570,accessories,bag,Peru-orange bag for men,89.99,M
7ae9fb66-ec70-4182-9573-2b243acff263,groceries,bakery,This yummy walnut pie is made fresh every day,9.99,ANY
d16257f7-da83-4b24-9e2f-5c4a2a67bdc9,seasonal,valentine,A must-have for that special day,56.99,ANY
c108b04b-64fd-43bd-80fc-4819eb01803a,apparel,jacket,This dark slate gray jacket for men is perfect for the office,129.99,M
ae654958-7897-4115-8baf-b5059c20d72b,accessories,handbag,Tomato red handbag for those dressy occasions,85.99,F
504a781b-e54c-4c33-a3a3-9d0036e2e190,groceries,bakery,Bread made fresh daily in our kitchens,8.99,ANY
da1fb708-edc1-4180-b9f0-1a6fb1fd3416,furniture,tables,Definitive light gray worktable for your office,245.99,ANY
3d11accd-9984-47e5-b0e6-94743e964b15,outdoors,camping,Be sure to bring this camping cup with you to the outdoors,7.99,ANY
2a69de63-48a5-4fcf-b086-4faab06bf63a,electronics,cable,This high quality cabling is unrivaled for your electronics at home and on the go,10.99,ANY
b958399d-8f7a-4bdf-963d-2f4b8528a539,footwear,formal,Pair of saddle brown formal shoes for men,9.99,M
eadfaa17-79ca-4e17-a37f-b3ba522d35c2,apparel,jacket,Well-insulated casual jacket for women,195.99,F
